iter	Passed	Remaining
0	0	83
1	1	78
2	2	73
3	2	67
4	3	66
5	5	84
6	6	84
7	7	83
8	7	80
9	8	77
10	9	75
11	10	73
12	10	71
13	11	69
14	12	68
15	12	66
16	13	65
17	14	64
18	15	65
19	16	65
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
